,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
3195,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.93,5.0,4.47,4.53,2.0,15,0,220,2,1125
3196,within a few hours,63%,t,Private room in houseboat,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.72,4.83,4.98,4.66,1.0,93,26,90,2,1125
3197,DESCONOCIDO,80%,t,Entire home,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.89,5.0,4.56,4.67,1.0,9,97,200,2,7
3198,DESCONOCIDO,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.27,4.91,4.91,4.45,1.0,11,0,350,1,1125
3199,within a few hours,60%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.89,5.0,4.56,4.78,1.0,10,5,119,4,20
3200,DESCONOCIDO,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.85,5.0,5.0,4.92,1.0,13,0,250,2,1125
3201,DESCONOCIDO,DESCONOCIDO,t,Private room in bed and breakfast,DESCONOCIDO,DESCONOCIDO,f,t,1 bath,"['email', 'phone']",4.8,4.9,4.8,4.6,1.8,0,209,254,2,1125
3202,within an hour,100%,t,Entire home,"Amsterdam, Netherlands",f,t,t,1.5 baths,"['email', 'phone']",4.38,5.0,4.54,4.62,5.0,14,19,180,2,30
3203,within an hour,100%,t,Entire serviced apartment,DESCONOCIDO,f,t,t,1 bath,['phone'],4.29,4.17,4.49,3.99,2.0,70,152,300,1,1125
3204,within an hour,98%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.97,4.99,5.0,4.91,1.0,96,175,138,2,365
