,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
12016,within an hour,100%,t,Private room in rental unit,DESCONOCIDO,t,f,t,1 shared bath,"['email', 'phone']",4.83,4.99,4.96,4.84,1.0,90,84,376,1,20
12017,within an hour,99%,f,Room in boutique hotel,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.66,4.57,4.92,4.55,2.0,166,362,1495,2,1125
12018,within an hour,94%,t,Entire rental unit,Mexico,f,t,t,1 bath,"['email', 'phone']",4.57,4.64,5.0,4.21,1.0,14,362,1070,1,365
12019,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,2.5 baths,"['email', 'phone']",4.89,5.0,5.0,4.78,1.0,9,4,2650,2,1125
12020,within an hour,91%,t,Entire rental unit,"Pembroke Pines, FL",f,f,t,3 baths,"['email', 'phone']",4.7,4.8,4.8,4.7,2.0,0,1,5716,2,45
12021,within an hour,98%,t,Entire rental unit,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.96,4.98,4.91,4.96,2.0,45,260,1609,1,1125
12022,within an hour,100%,t,Private room in rental unit,"Mexico City, Mexico",t,t,t,1.5 shared baths,"['email', 'phone']",4.4,4.96,4.68,4.96,1.0,25,65,290,1,1125
12023,a few days or more,0%,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone']",4.92,5.0,5.0,4.92,1.0,12,87,295,1,35
12024,within an hour,100%,t,Entire serviced apartment,DESCONOCIDO,t,t,t,3.5 baths,"['email', 'phone']",4.78,4.78,4.94,4.72,5.0,32,60,3523,1,1125
12025,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,f,t,1.5 shared baths,"['email', 'phone']",4.83,5.0,4.89,4.89,1.0,18,74,280,5,1125
12026,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.29,4.67,4.86,4.72,2.0,72,326,945,3,1125
12027,within an hour,100%,t,Private room in guest suite,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,4.71,1.0,7,88,454,2,1125
12028,within an hour,100%,t,Entire loft,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.58,4.58,4.67,4.5,1.0,12,238,1241,2,1125
12029,within an hour,99%,t,Room in hotel,"Naucalpan de JuÃ¡rez, Mexico",t,t,t,1 private bath,"['email', 'phone']",4.81,4.74,4.93,4.81,2.0,227,261,1615,1,1125
12030,within an hour,97%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.76,4.94,4.76,4.71,1.0,34,62,750,1,365
12031,DESCONOCIDO,92%,t,Private room in condo,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone']",5.0,5.0,3.5,4.0,2.0,2,303,350,1,365
12032,DESCONOCIDO,DESCONOCIDO,f,Entire guest suite,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,0,350,2,7
12033,within an hour,100%,t,Entire serviced apartment,"State of Mexico, Mexico",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,2.0,1,350,579,15,1125
12034,within an hour,100%,f,Shared room in rental unit,"Mexico City, Mexico",t,f,t,1 shared bath,"['email', 'phone']",4.73,4.95,4.82,4.73,1.0,22,364,779,1,1125
12035,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",3.0,5.0,3.5,3.0,1.0,2,0,205,1,10
12036,DESCONOCIDO,100%,t,Entire rental unit,"Toronto, Canada",f,f,t,3.5 baths,['phone'],5.0,5.0,5.0,5.0,2.0,1,0,1200,15,1125
12037,within an hour,80%,t,Private room in rental unit,"London, United Kingdom",f,f,t,1.5 shared baths,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,37,541,7,365
12038,within an hour,100%,t,Entire rental unit,DESCONOCIDO,f,f,t,1.5 baths,"['email', 'phone']",4.28,4.41,5.0,4.56,2.0,39,90,1595,1,1125
12039,within an hour,100%,t,Casa particular,Mexico,t,t,t,2 baths,"['email', 'phone', 'work_email']",4.84,4.89,4.94,4.85,6.0,82,164,1707,1,60
12040,within an hour,100%,t,Room in aparthotel,Mexico,f,t,t,1 private bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,362,425,3,1125
12041,within an hour,100%,t,Entire loft,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.94,4.97,5.0,4.85,2.0,33,340,1725,1,1125
12042,within an hour,100%,t,Entire loft,DESCONOCIDO,t,f,t,1 bath,"['email', 'phone']",4.74,4.73,4.77,4.63,1.0,73,328,514,2,1125
12043,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",t,t,t,3 baths,"['email', 'phone']",4.96,4.8,4.96,4.86,3.0,51,329,4787,1,365
12044,within an hour,100%,t,Entire condo,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone']",4.85,4.85,4.8,4.85,2.0,65,339,440,1,50
